MANDT,KUNNR,BANKS,BANKL,BANKN,BKONT,BVTYP,XEZER,BANKA,SWIFT,IBAN
100,0000000486,KR,31933723,2094252128,,,,Hudson Ltd,JYRKGBB1,GB52LXVX42384796285854
100,0000000864,ES,31019826,2157600120,,,,Ellis-Elliott,XFUDGB422ME,FR2152881674371184091086309
100,0000001176,MX,42770458,4976404237,,,,有限会社山田食品,BCRLDE77,GB39FGUY81091897706359
100,0000000997,IN,81146089,4607406880,,,,Harloff Kallert AG & Co. KG,SOQSFRB1KEQ,GB75XSNB92567047546783
100,0000000169,AT,47273799,2524567384,,,,Johnson-Montoya,AMUWDESA,GB33YOVL46278140612089
100,0000000790,DE,90639089,3185910792,,,,鈴木通信有限会社,XWKBFRA2,GB08GGIK90268102690056
100,0000001478,GB,06564490,1082959491,,,,Henschel GmbH   ,NSHKGBBVX6R,GB79CAVB50034425630661
100,0000000009,ES,72842668,7319158744,,,,Harvey-Lamb   ,SVJSDE2T,GB25SJDE25081970884442
100,0000001620,MX,64738562,7470002170,,,,合同会社三浦通信,LWFXDEE8ZSA,DE56030551757014182080
100,0000001882,JP,44220285,1610202358,,,,Peltier   ,CKTTFRNC,GB24BWEG53106536422715
100,0000001591,BR,41143539,8137014641,,,,佐藤ガス合同会社,XJNWGBBM,DE55637781750891185608
100,0000000998,CH,49980236,0077062234,,,,Sanchez-Hayes,HHMXGBEZSOA,GB72ZCBH15019589777452
100,0000001042,NL,92532213,1212314068,,,,Costela,SSVNDE8J4J0,GB51XSWZ20428193288742
100,0000001561,CN,52189332,7588611732,,,,Parent   ,XMUSGBJ74QF,GB24EHNW31981881976354
100,0000001276,CH,81992105,0126954831,,,,"Walker, Richards and Shaw   ",TSOQGBF4PYF,GB94MGDV00270944812667
100,0000001001,FR,21784496,3808038631,,,,Borges S/A,XVJYGBKN,GB14VKSX22894348930673
100,0000000138,BR,10191043,3791965673,,,,Dennis-Reyes,KCLCFRQNXLX,GB83QRVX90164372389778
100,0000000017,FR,46014904,7002920287,,,,Siering Ehlert Stiftung & Co. KG,YZEVGBFV1ZI,GB49LFBF00427123901280
100,0000000771,KR,67594903,6772045733,,,,Hurley LLC,GDIPFRBL5XV,FR2044074195074915710642567
100,0000001956,US,91975155,9065126610,,,,Chauvet,DLLVDEZWNNM,GB58ZHJN81494821679436
100,0000001012,DE,16185248,6987339583,,,,Castro Cardoso Ltda.,BOILGB6FLBB,DE58723483743367633793
100,0000000638,DE,77849548,3589581126,,,,Miller-Solis,BXEAFR0S,GB51WAVK75840707031524
100,0000001317,GB,03148920,7154560454,,,,Smith Group,OZGLGB7V,DE18440748864536848227
100,0000001128,ES,16454652,3977021834,,,,山口食品有限会社,JVSDGBZ9ZM0,FR0550656401054524394719525
100,0000000188,AU,19416449,0118804797,,,,Wesack e.G.,GIKPGB9D,GB18XOOB23810485343285
100,0000000972,IN,94309518,9736868651,,,,Peterson-Ruiz,GTMJGB2YDRY,GB90XMMT62299544341685
100,0000001867,BE,31462801,8732536392,,,,Leleu Meunier SA,OZKXDECF,FR7340401097343656626961135
100,0000000939,FR,99856483,6170169809,,,,Nguyen S.A.R.L.,GLBLGB6ULTQ,GB57ITNA30242149623097
100,0000001709,AU,58893505,4947224155,,,,Chauveau Rémy S.A.S.,BPRGFRF0,GB79IPUP80467062276952
100,0000001653,GB,45364596,8695639915,,,,Ward-Gibbs,PHREDEJZF9L,FR0712316056885188642591874
100,0000001620,KR,12797947,6283260122,,,,Stumpf,IFZLGBC5,GB32NBZR40550145083431
100,0000001995,IT,75965489,7653927516,,,,Hartung Freudenberger e.V.,GWEJGB8N87K,GB45XRHJ39985394950707
100,0000001991,CA,88446966,4667061065,,,,Ellis-Howard,BJLWGB9XBEE,GB90ULKK74443518475055
100,0000000500,NL,16556780,9069898865,,,,Hawkins Inc,JOVCDED5,GB17PNFH89929812066432
100,0000001003,MX,37714294,6909120364,,,,Farias   ,VWJUGB8E,FR6402376112814563211595732
