MANDT,LIFNR,BANKS,BANKL,BANKN,BKONT,BVTYP,XEZER,BANKA,PROVZ,STRAS,ORT01,SWIFT,IBAN,KOINH,KOVON,KOBIS
100,0000001926,CA,64686522,5790001731,,,,Wade Group,,1721 Brandy Greens,North Sianland,WDJNGBY0ZW7,DE16092667312979278521,,,
100,0000001703,CN,22135124,6227714203,,,,Perrot Meyer S.A.S.   ,,"Campo de Castro, 77",Abreu da Mata,IWRJGB5A2KA,FR3254660247141557246052887,,,
100,0000001378,BR,69297046,5980894960,,,,"Gregory, Crawford and Burnett   ",,058 渡辺 Street,Juneshire,MGBADEH7,GB61WZIB33939001336870,,,
100,0000001794,CN,06079777,5810884537,,,,合同会社佐藤電気,,"Morro Mateus Andrade, 16   ",Altentreptow   ,IHKPDESC,GB51HJMQ94527592767214,,,
100,0000001835,BE,24006701,8644730734,,,,Cherry-Smith   ,,59 Louis Shores,Oranienburg,EMSJGBEL,GB23VLIF81257899202313,Nicole-Édith Lemonnier,,
100,0000000933,KR,25281238,7888047252,,,,"Downs, Bautista and Jordan   ",,Birger-Weinhage-Platz 8/9,Chrétien,FJFKFRE2,DE89214563944078489373,Dirk Hahn,,
100,0000001373,MX,06003763,8968459985,,,,Rey Ribeiro SARL,,09319 Stephen Shore,Erkelenz   ,GQMUGB30KCD,GB59WLFO79616241166221,,,
100,0000001457,BE,66170371,5684978758,,,,吉田建設有限会社,,631 Fuentes Park,Barrettshire,XOYLGBLQ,GB38XPIP75897849251517,Levi Siqueira,,
100,0000001727,NL,61078727,4864718421,,,,da Mota   ,,57704 Foster Cape Apt. 926,Saint Joséphinedan,ZYWQGBRN,GB50FFUC13715540588174,,,
100,0000000226,CH,25449224,8593880604,,,,Ferreira Robin SA,,865 Davis Circle,Lake Diana   ,ADHEGB324DG,GB14SVJF54973405599583,Davi Fernandes,,
100,0000001306,PL,42100909,0554387175,,,,"Cook, Woodard and Brown   ",,512 Harris Route,我孫子市,MWTFGBAA,GB93PLWL16653389344026,,,
100,0000000365,CH,95743746,9751085445,,,,Hecker Hiller KG,,Fanny-Köhler-Gasse 49-26,Gerolzhofen,QLTAGBIZ,FR9655294112778169177147064,Gareth Robinson-Holloway,,
100,0000001165,MX,03942016,1631972062,,,,Patel-Perkins,,"Via Maysa Montenegro, 3   ",Oliveira de das Neves,WOWHGBOE,GB14CXLU83391034005560,Suzanne Bruneau,,
100,0000001321,AT,99931140,3600463208,,,,Heath-Thomas,,217 Ryan Trail Suite 569   ,南房総市,TGAUDE3I,GB85LAFP72578756028537,,,
100,0000001705,CH,69895915,7032711908,,,,"Richardson, Johnston and Spencer",,"Praia Evelyn Barros, 10",North Terenceview,RCKGDE2FMED,GB51FXSL03442566438044,Gareth Field,,
