BP_NUMBER,STREET,CITY,POSTAL_CODE,COUNTRY,REGION,ADDR_TYPE
0000000001,863 林 Street,Pastor,29158,FR,NY,01
0000000002,965 中川 Street,Castro,ME6X 2LF,NL,WA,01
0000000003,78248 Brandt Plains,Arnstadt,03911,MX,TO,01
0000000004,Via de Ramos,Smithfort,45533,JP,PB,01
0000000005,812 林 Street,神津島村,07073,PL,PE,01
0000000006,Pärtzeltstraße 1/2,Rios,CH1 4NZ,CN,VT,01
0000000007,02 Gill Loop,Jasonbury,767-2532,CA,VI,01
0000000008,"Conjunto de Correia, 36",西多摩郡瑞穂町,14846,GB,MG,01
0000000009,986 青木 Street,Monteiro das Flores,W08 1TF,DE,RO,01
0000000010,"Quadra Cirino, 5",Amandafort,52146,IN,CO,01
0000000011,314 Anna Tunnel,West Daniel,693-6149,PL,RR,01
0000000012,855 渡辺 Street,Rathenow,70143-634,CN,PR,01
0000000013,"Flat 3
Nicole Track",Badoberan,10690,NL,FL,01
0000000014,190 石川 Street,羽村市,71746,SE,PE,01
0000000016,"Via Leonardo Barbosa, 64",文京区,69438,AT,AC,01
0000000017,"Aeroporto Carlos Eduardo Pereira, 44",千代田区,302-4837,MX,MP,01
0000000018,174 鈴木 Street,Lemgo,96513,CH,AC,01
0000000019,"Studio 11
Parkin Lake",山武郡芝山町,20539502,SE,AL,01
0000000020,"Conjunto Dante Pastor, 285",Pasquier,12720,CA,AM,01
0000000021,614 松本 Street,Stendal,53379,NL,WV,01
0000000022,770 小林 Street,Port Abbie,52717-744,NL,MI,01
0000000023,383 藤原 Street,Sankt Goar,TD9E 0SQ,MX,NV,01
0000000024,986 Gerard Freeway,Augsburg,005-1298,DE,KS,01
0000000025,5054 Lauren Mews,Robinsonfort,L0 4WR,IT,GO,01
0000000027,8528 Katrina Curve Suite 801,山武市,16927,US,RS,01
0000000028,Dimitri-Kreusel-Weg 63-13,Sainte Catherine-sur-Mer,OX5 2UW,BE,PR,01
0000000029,1694 Candice Greens Apt. 097,いすみ市,88879,SE,PR,01
0000000030,6 Edwards Courts,神津島村,88297,IT,SC,01
0000000031,"541, boulevard Matthieu Vasseur",Sales de Goiás,61501,MX,CE,01
0000000032,0462 Katie Stream,Pacheco,44817,JP,ND,01
0000000033,342 藤井 Street,Novais do Amparo,20407,NL,CE,01
0000000034,235 小林 Street,Griesbach Rottal,HD6 9JF,BE,KS,01
0000000035,76591 Jerry Ways,Berger-sur-Grenier,70587,IN,SC,01
0000000036,604 小林 Street,Burglengenfeld,14126,GB,MI,01
0000000037,"168, boulevard Jeannine Diaz",New Wendy,10559,CH,RJ,01
0000000038,751 Williams Station Apt. 051,Borna,HA5 3WU,IN,PR,01
0000000039,"729, rue Claire Bousquet",Jayneshire,CM3 1GQ,CH,NY,01
0000000040,"Morro de Santos, 362",Saint ThéophileVille,31557,KR,AS,01
0000000041,62713 Davis Valley Apt. 155,South Stephen,10371293,GB,AC,01
0000000042,"Vale de Cassiano, 51",Teixeira,B6 8SS,AT,AP,01
0000000043,rue Stéphane Thibault,Dresden,B61 4NP,JP,OH,01
0000000044,"Área de Cunha, 22",Hallchester,21159,PL,TO,01
0000000045,"20, avenue Guillaume Humbert",West Leonard,634-4026,NL,PR,01
0000000046,"Estação Siqueira, 7",Pastor do Campo,28953-926,JP,SC,01
0000000047,431 加藤 Street,Herzberg,96201533,AU,RR,01
0000000048,"43, rue Briand",Burnsfurt,693-2415,DE,WV,01
0000000049,330 佐藤 Street,Schleiz,41280,NL,BA,01
0000000050,5444 Edward Track Apt. 096,New Yvonnestad,289-4890,BR,NJ,01
0000000051,Eduard-Kraus-Weg 3/2,Parkinsonfurt,IG0N 0AJ,US,UT,01
0000000052,437 渡辺 Street,香取郡東庄町,685-8095,PL,CO,01
0000000053,663 Stephen Unions,Lopes,87721753,DE,GO,01
0000000054,Praça de Pacheco,Erfurt,137-8172,GB,NC,01
0000000055,"18, chemin Renaud",Burglengenfeld,RM8P 8NB,MX,MG,01
0000000056,8408 Robertson Pass Suite 704,Turnertown,39930,CA,MG,01
0000000057,"Via de Freitas, 9",Kristinport,72832684,AU,ME,01
0000000058,930 井上 Street,da Mota da Praia,83411,JP,PR,01
0000000059,"39, avenue de Simon",Gardelegen,PL1 6PE,SE,RO,01
0000000060,"99, avenue Barbe",Mohammedmouth,29127-990,ES,CO,01
0000000061,chemin Louis,New Richard,19549,BE,RN,01
0000000062,"Viela Sampaio, 75",Claremouth,34293,US,MS,01
0000000063,Kobeltplatz 76-63,Stewarthaven,69155942,DE,ES,01
0000000064,Junckweg 5/7,Suhl,414-1168,ES,GA,01
0000000065,4064 Laura Plaza Suite 368,DumasBourg,08254,DE,PI,01
0000000066,"Sítio Moreira, 5",Kimberlyland,87419,ES,CE,01
0000000067,Metzgasse 3-1,Simonfort,70118,BE,NV,01
0000000069,"32, rue Christelle Masse",Mathieu-sur-Mer,20679,FR,IN,01
0000000070,"Avenida Maria Flor Rezende, 2",Sainte Marc,69804204,IN,WY,01
0000000071,"Ladeira de Cassiano, 31",Turnerberg,WC2 5SS,CH,PB,01
0000000072,"27, chemin Marine Delahaye",Lichtenfels,29826657,IN,HI,01
0000000073,5 Jacob Walk,Youngshire,284-9134,CH,AR,01
0000000074,Ullrichstr. 2,Lake Gregory,331-0100,KR,TX,01
0000000075,8104 Gloria Ranch Apt. 570,印旛郡酒々井町,692-2174,ES,VA,01
0000000076,Geißlerring 39/99,山武市,SG5N 7AD,IT,AM,01
0000000077,Rognergasse 8,Cliffordshire,80650,BR,BA,01
