BP_NUMBER,BANK_COUNTRY,BANK_KEY,BANK_ACCOUNT,IBAN,SWIFT
0000001926,CA,64686522,5790001731,DE16092667312979278521,WDJNGBY0ZW7
0000001378,BR,69297046,5980894960,GB61WZIB33939001336870,MGBADEH7
0000001794,CN,06079777,5810884537,GB51HJMQ94527592767214,IHKPDESC
0000001835,BE,24006701,8644730734,GB23VLIF81257899202313,EMSJGBEL
0000000933,KR,25281238,7888047252,DE89214563944078489373,FJFKFRE2
0000001373,MX,06003763,8968459985,GB59WLFO79616241166221,GQMUGB30KCD
0000001457,BE,66170371,5684978758,GB38XPIP75897849251517,XOYLGBLQ
0000001727,NL,61078727,4864718421,GB50FFUC13715540588174,ZYWQGBRN
0000000226,CH,25449224,8593880604,GB14SVJF54973405599583,ADHEGB324DG
0000001306,PL,42100909,0554387175,GB93PLWL16653389344026,MWTFGBAA
0000000365,CH,95743746,9751085445,FR9655294112778169177147064,QLTAGBIZ
0000001165,MX,03942016,1631972062,GB14CXLU83391034005560,WOWHGBOE
0000001321,AT,99931140,3600463208,GB85LAFP72578756028537,TGAUDE3I
0000001705,CH,69895915,7032711908,GB51FXSL03442566438044,RCKGDE2FMED
0000000796,MX,53513617,0363107815,GB65DPSY47359333764974,UIGLDE83
0000000352,CH,32576878,6975030922,GB35ZLDK50397792696811,COYSGB4QR9L
0000000169,NL,60890313,7026517160,GB64EZAG43581142485615,ETPUGB9W56N
0000001144,GB,78868491,3063438746,GB72MOIS98631382588070,LKILFRVZ
0000000399,FR,03599605,6394920169,GB48GLRP80538620442884,YFDNGBZOU2D
0000001064,FR,37702661,7980761278,GB33XSZD03271826863471,SRXHFRWI
0000001053,KR,91218068,6604308508,GB49BEMB99234815487439,HPZEGBO2
0000001127,BR,42616015,9509961225,FR0564576202515926794026410,QNOEDEJZ
0000001846,GB,64656215,1761244726,GB69UURI54441154773290,ZFLAGBAH
0000000703,DE,73707038,8379003544,FR9388158887884912934307276,RXIBGBCJ3YQ
0000001029,DE,62179709,3011411789,FR9631293231452997898538891,EIKFGBXKHEQ
0000000916,JP,81649744,5251747735,FR2544665984364992194059106,XOEYDEW5
0000001269,DE,74709102,0327390808,GB22NFLV01011180584847,JXPODESZ
0000000059,CA,81507208,9157106056,GB52BOUQ37844091536000,GYRMGBPBRT6
0000001834,CA,47804717,4332120445,GB49YZYF73720203276073,GKAFDEKK
0000000539,JP,64207092,7586024925,DE96994123929915725755,RDTNDEFHHXL
0000001507,IT,39643656,8552581282,FR3837027316013625255650431,UOREGBGO
0000001280,BR,12616382,3916203438,FR2111477237354840352389545,ELNTGBW0
0000001084,AU,62935309,9908231145,DE95616363782579390900,MXVQGBJ0
0000000117,IT,63351460,6927879475,GB37DHPS20716918664354,RVYTGB5ITHJ
0000001731,CA,14356549,5164889366,GB59GIAF15904106671739,RELRGBSJBOE
0000001700,AU,53666044,2775419270,FR0415349753139751318429567,OLZTDE8B76D
0000000145,ES,84015297,3717748575,FR8614456337462470334753321,JCCNDE5KG93
0000000742,GB,92344457,1540690595,GB28MODA14541877249080,YLOLDEVG
0000000215,MX,66040583,7746821226,GB98WVXX56384409115740,XYLCGBUK6OP
0000001521,CA,96007723,4076896649,DE64425200834567023512,GOEYGBORI92
0000001489,BE,48512404,9611751039,GB46UOIN62110556772009,JMZQGBRR
0000000368,AU,55104145,8214887450,FR7496170293046562587436781,FGFPFRZC9PC
0000001407,DE,32205776,0409170804,GB11RURF84017854479862,CMRBFR2S
0000001255,AU,69923601,1617033496,GB79KNGG70452679500427,NRUBGBWA
